performance_id,project_id,issued,retired,remaining,vintage_year
1,ACR1000,"1,090,133",0,"1,090,133",2023.0
2,ACR1001,"1,568,319",0,"1,568,319",2023.0
3,ACR1002,0,0,0,
4,ACR1003,0,0,0,
5,ACR1004,0,0,0,
6,ACR1005,"30,694","30,694",0,2022.0
7,ACR1006,"27,116",0,"27,116",2022.0
8,ACR1007,"79,565","79,565",0,2024.0
9,ACR1008,"26,766",0,"26,766",2022.0
10,ACR1009,"31,850",0,"31,850",2024.0
11,ACR1010,0,0,0,
12,ACR1011,"6,631",0,"6,631",2024.0
13,ACR1012,0,0,0,
14,ACR1013,"92,445",0,"92,445",2024.0
15,ACR1014,"121,144","77,863","43,281",2022.0
16,ACR1015,"1,347,257",0,"1,347,257",2023.0
17,ACR1016,0,0,0,
18,ACR1019,0,0,0,
19,ACR102,"7,984,006","17,666","7,966,340",2003.0
20,ACR1020,"83,176","48,508","34,668",2024.0
21,ACR1021,"454,639","281,849","172,790",2023.0
22,ACR1022,"78,611",0,"78,611",2024.0
23,ACR1023,"989,735",0,"989,735",2023.0
24,ACR1024,"78,857",0,"78,857",2024.0
25,ACR1025,0,0,0,
26,ACR1026,0,0,0,
27,ACR1027,0,0,0,
28,ACR1028,0,0,0,
29,ACR1029,"43,766",0,"43,766",2023.0
30,ACR103,"44,202","28,636","15,566",2003.0
31,ACR1030,0,0,0,
32,ACR1031,0,0,0,
33,ACR1032,"83,607","1,043","82,564",2022.0
34,ACR1033,"61,396",0,"61,396",2022.0
35,ACR1034,"29,119","12,452","16,667",2023.0
36,ACR1035,"25,306",0,"25,306",2024.0
37,ACR1036,"43,156","28,608","14,548",2024.0
38,ACR1037,0,0,0,
39,ACR1039,"46,631","19,904","26,727",2024.0
40,ACR1040,"130,298","42,649","87,649",2024.0
41,ACR1041,"30,485",0,"30,485",2024.0
42,ACR1042,"92,278","2,000","90,278",2024.0
43,ACR1043,"271,319","95,208","176,111",2025.0
44,ACR1045,"25,510","23,568","1,942",2023.0
45,ACR1046,0,0,0,
46,ACR1047,"117,659",0,"117,659",2023.0
47,ACR1048,"59,991",0,"59,991",2022.0
48,ACR1049,"128,198",0,"128,198",2022.0
49,ACR105,"2,572,210","2,572,210",0,2011.0
50,ACR1050,"42,686",0,"42,686",2023.0
51,ACR1051,"35,351",0,"35,351",2024.0
52,ACR1052,0,0,0,
53,ACR1053,"386,234",0,"386,234",2024.0
